"data_as_of","start_week","end_week","state_name","county_name","county_fips_code","urban_rural_code","total_death","footnote","covid_death","formattedupdatedate","countyformatted"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Martin County","12085","Medium metro","4246",,"580",2021-10-20,"Martin"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Miami-Dade County","12086","Large central metro","47108",,"7994",2021-10-20,"Miami-Dade"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Monroe County","12087","Micropolitan","1034",,"42",2021-10-20,"Monroe"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Nassau County","12089","Large fringe metro","1390",,"91",2021-10-20,"Nassau"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Okaloosa County","12091","Small metro","4150",,"524",2021-10-20,"Okaloosa"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Okeechobee County","12093","Micropolitan","876",,"106",2021-10-20,"Okeechobee"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Orange County","12095","Large central metro","21474",,"2616",2021-10-20,"Orange"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Osceola County","12097","Large fringe metro","5738",,"918",2021-10-20,"Osceola"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Palm Beach County","12099","Large fringe metro","32326",,"4162",2021-10-20,"Palm Beach"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Pasco County","12101","Large fringe metro","13098",,"1399",2021-10-20,"Pasco"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Pinellas County","12103","Large central metro","25745",,"2460",2021-10-20,"Pinellas"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Polk County","12105","Medium metro","15313",,"2108",2021-10-20,"Polk"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Putnam County","12107","Micropolitan","1846",,"240",2021-10-20,"Putnam"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","St. Johns County","12109","Large fringe metro","3465",,"231",2021-10-20,"St. Johns"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","St. Lucie County","12111","Medium metro","7018",,"718",2021-10-20,"St. Lucie"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Santa Rosa County","12113","Medium metro","2381",,"254",2021-10-20,"Santa Rosa"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Sarasota County","12115","Medium metro","12439",,"1401",2021-10-20,"Sarasota"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Seminole County","12117","Large fringe metro","6952",,"656",2021-10-20,"Seminole"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Sumter County","12119","Small metro","4646",,"444",2021-10-20,"Sumter"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Suwannee County","12121","Noncore","674",,"44",2021-10-20,"Suwannee"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Taylor County","12123","Noncore","353",,"26",2021-10-20,"Taylor"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Union County","12125","Noncore","226",,"32",2021-10-20,"Union"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Volusia County","12127","Medium metro","15520",,"1527",2021-10-20,"Volusia"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Wakulla County","12129","Medium metro","396",,"15",2021-10-20,"Wakulla"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Walton County","12131","Small metro","1340",,"152",2021-10-20,"Walton"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Washington County","12133","Noncore","538",,"63",2021-10-20,"Washington"
